school,id,division,conference,rating,rd,volatility,wins,losses
Tennessee,2633,East,SEC,1632.2528443319022,74.9351131420169,0.05999311866173382,7.0,6.0
Texas,251,,Big 12,1603.7694225960781,68.30647176718486,0.06009669846498449,5.0,7.0
Texas A&M,245,West,SEC,1755.2835339832354,71.56928066759271,0.06007450270720124,8.0,4.0
Texas State,326,,Sun Belt,952.1869567002445,71.93030645812735,0.05998590447035794,4.0,8.0
Texas Tech,2641,,Big 12,1682.8813392088375,68.66564289317635,0.06005110773338398,7.0,6.0
Toledo,2649,West,Mid-American,1127.7278097815918,68.65789131210322,0.06002735474289341,7.0,6.0
Troy,2653,,Sun Belt,1065.343983801173,71.99988480236196,0.05991985994216192,5.0,7.0
Tulane,2655,West,American Athletic,1012.5464156347266,88.04389449784097,0.05995066682377401,2.0,10.0
Tulsa,202,West,American Athletic,1545.725063954514,78.79720498052184,0.059978053073295894,7.0,6.0
UAB,5,West,Conference USA,1484.3524016674937,74.79609856712214,0.06008928340446063,9.0,4.0
UCF,2116,East,American Athletic,1533.952136884983,71.05387624002714,0.06000704655131556,9.0,4.0
UCLA,26,South,Pac-12,1507.535417314838,68.35130128688587,0.05993319852046729,8.0,4.0
UMass,113,,FBS Independents,195.52398704700886,106.80705098492022,0.05997291644059122,1.0,11.0
UNLV,2439,West,Mountain West,1099.3084314832613,76.22112868849712,0.05996035944538056,2.0,10.0
USC,30,South,Pac-12,1184.4767005764352,68.14136240779229,0.05998261670365939,4.0,8.0
Utah,254,South,Pac-12,1716.6105013902074,70.56788399272025,0.06000366046934075,10.0,3.0
Utah State,328,Mountain,Mountain West,1644.9690620622873,74.53498951893158,0.0600582330092752,11.0,3.0
UTEP,2638,West,Conference USA,1091.9818494660408,70.89183683399568,0.0599354543978033,7.0,6.0
UT San Antonio,2636,West,Conference USA,1641.4234340172995,77.24519841873469,0.059999514992391347,12.0,2.0
Vanderbilt,238,East,SEC,984.3758439451323,87.53161201822392,0.05997413544284124,2.0,10.0
Virginia,258,Coastal,ACC,1477.572936763406,68.07457669901996,0.0599934226015624,6.0,6.0
Virginia Tech,259,Coastal,ACC,1370.2719802167633,67.83492770019421,0.05996572874591345,6.0,7.0
Wake Forest,154,Atlantic,ACC,1721.215729213989,69.9867837547914,0.059957754525025865,11.0,3.0
Washington,264,North,Pac-12,1160.157418839011,69.30874574142734,0.05993195761772748,4.0,8.0
Washington State,265,North,Pac-12,1392.893841792131,67.2788138668602,0.05996016053186447,7.0,6.0
Western Kentucky,98,East,Conference USA,1436.536193782381,72.31090062640943,0.05995801329470924,9.0,5.0
Western Michigan,2711,West,Mid-American,1360.3605682119137,68.66251245602383,0.06016923878115582,8.0,5.0
West Virginia,277,,Big 12,1611.398911570882,67.10153931640488,0.059944604015338486,6.0,7.0
Wisconsin,275,West,Big Ten,1842.5978225219656,72.48729175374012,0.05999035279160237,9.0,4.0
Wyoming,2751,Mountain,Mountain West,1280.3728845642104,68.37673114525992,0.060135493788463085,7.0,6.0
